,clients_count,queue_length_mean,queue_length_sd,serving_time_mean,serving_time_sd,time
0,5.0,0.4388888888888889,0.6813964741342836,160.4,90.3371462909915,2018-01-01 07:00:00
1,10.0,1.5727777777777778,1.5897227797511622,173.1,61.82672920707066,2018-01-01 07:30:00
2,16.0,5.877777777777778,4.343832152788768,299.0,110.83982437132724,2018-01-01 08:00:00
3,17.0,7.252222222222223,5.080425498056919,358.47058823529414,138.75658436947182,2018-01-01 08:30:00
4,6.0,0.6272222222222222,0.9683329833268758,138.5,30.71644510681534,2018-01-01 09:00:00
5,10.0,1.3311111111111111,1.4135565704113413,160.4,64.80603538423118,2018-01-01 09:30:00
6,13.0,7.928333333333334,4.548775559244755,377.7692307692308,129.3703687391062,2018-01-01 10:00:00
7,15.0,3.5633333333333335,3.3701415939890853,256.0,117.43873782895125,2018-01-01 10:30:00
8,13.0,1.913888888888889,2.142460023318119,201.6153846153846,86.793373846105,2018-01-01 11:00:00
9,8.0,0.8116666666666666,0.9684158970394322,137.625,33.54288300072014,2018-01-01 11:30:00
10,16.0,3.391111111111111,2.194370707132495,251.875,108.52580338334289,2018-01-01 12:00:00
11,12.0,4.083333333333333,3.1135183739322603,222.5,100.71246198956712,2018-01-01 12:30:00
12,11.0,3.943888888888889,3.6522954760611572,261.6363636363636,121.7023193922554,2018-01-01 13:00:00
13,6.0,0.48777777777777775,0.7273468317280645,137.33333333333334,31.822423959633664,2018-01-01 13:30:00
14,11.0,3.0433333333333334,2.7944815785652484,210.0,77.47644803422521,2018-01-01 14:00:00
15,11.0,2.1783333333333332,2.5641036583712267,266.0,147.39335127474374,2018-01-01 14:30:00
16,15.0,7.362222222222222,5.347919187806205,507.46666666666664,200.1491824567246,2018-01-01 15:00:00
17,11.0,1.2294444444444443,1.1751170969160452,159.72727272727272,59.78811070621133,2018-01-01 15:30:00
18,16.0,3.0094444444444446,2.6430017554460616,265.25,137.93210890386135,2018-01-01 16:00:00
19,8.0,0.7272222222222222,0.9775313802040078,141.875,34.59742971460659,2018-01-01 16:30:00
20,15.0,9.692222222222222,4.127854587676813,346.06666666666666,128.19709527947674,2018-01-01 17:00:00
21,17.0,8.41388888888889,4.7003987139300625,386.4117647058824,165.29105345704946,2018-01-01 17:30:00
22,20.0,12.491666666666667,6.011840965581333,615.25,261.75377642678666,2018-01-01 18:00:00
23,22.0,11.322777777777778,7.200513620086964,731.6818181818181,365.0623412336761,2018-01-01 18:30:00
24,13.0,2.59,1.9526666819122924,183.23076923076923,69.54872853636968,2018-01-01 19:00:00
25,14.0,2.875,3.156196425364933,316.7857142857143,169.66354876702238,2018-01-01 19:30:00
26,12.0,3.792222222222222,3.3919673538818893,218.08333333333334,92.82677741934492,2018-01-01 20:00:00
27,10.0,1.6688888888888889,1.6877839501745484,162.6,49.41030032065964,2018-01-01 20:30:00
28,11.0,1.7455555555555555,1.6248255466188413,147.0,42.06185920760042,2018-01-01 21:00:00
29,11.0,1.9644444444444444,2.0319466927345204,206.9090909090909,83.83251701512313,2018-01-01 21:30:00
30,9.0,1.0772222222222223,1.1258413223980865,138.55555555555554,22.787667229836796,2018-01-01 22:00:00
31,24.0,11.157222222222222,6.740422811119318,561.7916666666666,319.2613729773182,2018-01-01 22:30:00
32,19.0,10.891111111111112,6.014095809299516,593.7894736842105,252.63754866241092,2018-01-01 23:00:00
33,12.0,6.638888888888889,4.534794013116752,335.8333333333333,117.66889859673923,2018-01-01 23:30:00
34,15.0,2.3672222222222223,2.5851014229488647,243.26666666666668,151.17845021537894,2018-01-02 07:00:00
35,8.0,1.0255555555555556,1.075479505618941,155.75,43.043997424562164,2018-01-02 07:30:00
36,13.0,2.07,1.527072717304425,186.76923076923077,58.85880541056686,2018-01-02 08:00:00
37,23.0,13.292222222222222,6.8269440974234366,729.2608695652174,325.4616605533109,2018-01-02 08:30:00
38,11.0,1.7522222222222221,1.9954772529367084,159.36363636363637,44.179797933609265,2018-01-02 09:00:00
39,13.0,4.2716666666666665,3.495264405295234,256.0769230769231,124.498635560436,2018-01-02 09:30:00
40,7.0,1.166111111111111,1.4980685689719724,179.85714285714286,71.43861834103589,2018-01-02 10:00:00
41,13.0,4.31,4.545796854057014,390.0,184.40851390323604,2018-01-02 10:30:00
42,13.0,1.6933333333333334,1.5167620056081559,188.30769230769232,79.1447877999394,2018-01-02 11:00:00
43,7.0,0.8261111111111111,1.057694425330438,143.85714285714286,43.306768414142724,2018-01-02 11:30:00
44,13.0,7.363333333333333,4.205027563445753,410.3076923076923,217.15370309812994,2018-01-02 12:00:00
45,11.0,1.05,1.0117431668593035,143.45454545454547,36.012119172199895,2018-01-02 12:30:00
46,13.0,7.028888888888889,4.379857997054505,253.23076923076923,73.73505932973116,2018-01-02 13:00:00
47,12.0,1.3955555555555557,0.9502243509244231,152.66666666666666,43.23789022969497,2018-01-02 13:30:00
48,20.0,8.748333333333333,5.818306726434097,432.05,201.62092492700518,2018-01-02 14:00:00
49,16.0,6.263333333333334,3.4468230613466715,330.375,121.32868580842701,2018-01-02 14:30:00
50,11.0,2.4883333333333333,2.405496184885251,178.0909090909091,78.45183814985414,2018-01-02 15:00:00
51,12.0,1.333888888888889,1.0315567758273396,142.66666666666666,39.201886163651345,2018-01-02 15:30:00
52,10.0,1.9633333333333334,1.8185597414090993,185.4,94.51184523057884,2018-01-02 16:00:00
53,14.0,1.9211111111111112,1.3708628756293033,177.85714285714286,68.13545010080699,2018-01-02 16:30:00
54,16.0,5.648888888888889,4.613469523448677,277.375,120.40812541795785,2018-01-02 17:00:00
